,name,year,duration,description,genre,country
10,Форрест Гамп,1994,2h 22m,"История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.","['Эпический', 'Драма', 'Роман']",United States
11,Властелин колец: Две крепости,2002,2h 59m,"В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.","['Действие Эпик', 'Приключенческий эпос', 'Темная фантазия', 'Эпический', 'Фэнтезийный эпический', 'Квест', 'Меч и колдовство', 'Приключение', 'Драма', 'Фантастика']",New Zealand
12,Бойцовский клуб,1999,2h 19m,"Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.","['Психологическая драма', 'Психологический триллер', 'Драма на рабочем месте', 'Преступление', 'Драма', 'Триллер']",Germany
13,Начало,2010,2h 28m,"Вор, который крадет корпоративные секреты с помощью технологии совместного использования мечты, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обребить профессионал ... прочитать все","['Действие Эпик', 'Приключенческий эпос', 'Эпический', 'Психологический триллер', 'Научно-фантастическая эпопея', 'Действие', 'Приключение', 'Научная фантастика', 'Триллер']",United States
14,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,2h 4m,"После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.","['Действие Эпик', 'Приключенческий эпос', 'Темная фантазия', 'Эпический', 'Фэнтезийный эпический', 'Globetrotting Adventure', 'Квест', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Меч и колдовство']",United States
15,Матрица,1999,2h 16m,"Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.","['Действие Эпик', 'Искусственный интеллект', 'Киберпанк', 'Дистопическая научная фантастика', 'Gun Fu', 'Боевые искусства', 'Научно-фантастическая эпопея', 'Действие', 'Научная фантастика']",United States
16,Славные парни,1990,2h 25m,"История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.","['Docudrama', 'Гангстер', 'Истинное преступление', 'Биография', 'Преступление', 'Драма']",United States
17,Пролетая над гнездом кукушки,1975,2h 13m,"Осенью 1963 года ветеран Корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.","['Медицинская драма', 'Психологическая драма', 'Драма']",United States
18,Интерстеллар,2014,2h 49m,"Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.","['Приключенческий эпос', 'Эпический', 'Квест', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Путешествие во времени', 'Приключение', 'Драма', 'Научная фантастика']",United States
19,Семь,1995,2h 7m,"Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.","['Полицейская драма', 'Вершинный детектив', 'Юридическая драма', 'Полицейские процедурные', 'Психологическая драма', 'Психологический триллер', 'Серийный убийца', 'Преступление', 'Драма', 'Тайна']",United States
20,Эта замечательная жизнь,1946,2h 10m,"Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.","['Хороший роман', 'Праздничная семья', 'Праздничный роман', 'Психологическая драма', 'Сверхъестественная фантазия', 'Драма', 'Семья', 'Фантастика', 'Праздничный день', 'Роман']",United States
21,Семь самураев,1954,3h 27m,"Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.","['Действие Эпик', 'Эпический', 'Период драма', 'Самурай', 'Действие', 'Драма']",Japan
22,Молчание ягнят,1991,1h 58m,"Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.","['Полицейские процедурные', 'Психологическая драма', 'Психологический ужас', 'Психологический триллер', 'Серийный убийца', 'Слэшер ужас', 'Преступление', 'Драма', 'Ужас', 'Триллер']",United States
23,Спасти рядового Райана,1998,2h 49m,"После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.","['Эпический', 'Период драма', 'Военный эпический', 'Драма', 'Война']",United States
24,Город Бога,2002,2h 10m,"В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.","['Капер', 'Совершеннолетие', 'Гангстер', 'Преступление', 'Драма']",Brazil
25,Зелёная миля,1999,3h 9m,"Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.","['Период драма', 'Тюремная драма', 'Сверхъестественная фантазия', 'Трагедия', 'Преступление', 'Драма', 'Фантастика', 'Тайна']",United States
26,Жизнь прекрасна,1997,1h 56m,"Когда открытый еврейский официант и его сын становятся жертвами Холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.","['Период драма', 'Романтическая комедия', 'Трагедия', 'Трагический роман', 'Комедия', 'Драма', 'Роман', 'Война']",Italy
27,Терминатор 2: Судный день,1991,2h 17m,"Киборг, идентичный тем, кто не смог убить Сару Коннор, теперь должен защитить своего десятилетнего сына Джона от еще более продвинутого и могущественного киборга.","['Действие Эпик', 'Искусственный интеллект', 'Киберпанк', 'Дистопическая научная фантастика', 'Научно-фантастическая эпопея', 'Путешествие во времени', 'Действие', 'Приключение', 'Научная фантастика']",United States
28,Звёздные войны,1977,2h 1m,"Люк Скайуокер объединяет усилия с рыцарем-джедаем, дерзким пилотом, вуки и двумя дроидами, чтобы спасти галактику от боевой станции, разрушающей мир империи, а также пытается спасти ... прочитать все","['Действие Эпик', 'Приключенческий эпос', 'Эпический', 'Фэнтезийный эпический', 'Квест', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Меч и колдовство', 'Действие', 'Приключение']",United States
29,Назад в будущее,1985,1h 56m,"Марти МакФлай, 17-летний ученик средней школы, случайно отправил 30 лет в прошлое в путешествии во времени Делореан, изобретенного его близким другом, научным сотрудником Доком Брауном.","['Комедия с высокой концепцией', 'Подростковое приключение', 'Подростка комедия', 'Путешествие во времени', 'Городское приключение', 'Приключение', 'Комедия', 'Научная фантастика']",United States
30,Унесённые призраками,2001,2h 4m,"Во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.","['Аниме', 'Совершеннолетие', 'Сказка', 'Нарисованная вручную анимацию', 'Квест', 'Сверхъестественная фантазия', 'Приключение', 'Анимация', 'Семья', 'Фантастика']",Japan
31,Пианист,2002,2h 30m,"Во время Второй мировой войны известный польский музыкант Wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.","['Docudrama', 'Эпический', 'Период драма', 'Трагедия', 'Военный эпический', 'Биография', 'Драма', 'Музыка', 'Война']",France
32,Гладиатор,2000,2h 35m,"Бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.","['Действие Эпик', 'Приключенческий эпос', 'Эпический', 'Период драма', 'Меч и сандалия', 'Действие', 'Приключение', 'Драма']",United States
33,Паразиты,2019,2h 12m,Жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом Ким.,"['Темная комедия', 'Корейская драма', 'Психологический триллер', 'Трагедия', 'Драма', 'Триллер']",South Korea
34,Психо,1960,1h 49m,"Секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.","['Темная комедия', 'Психологический ужас', 'Психологический триллер', 'Слэшер ужас', 'Тайна ожидания', 'Ужас', 'Тайна', 'Триллер']",United States
35,Король Лев,1994,1h 28m,"Принц Лев Симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.","['Приключение животных', 'Совершеннолетие', 'Нарисованная вручную анимацию', 'Джунгли Приключение', 'Приключение', 'Анимация', 'Драма', 'Семья', 'Фантастика', 'Мюзикл']",United States
36,Могила светлячков,1988,1h 28m,Молодой мальчик и его младшая сестра изо всех сил пытаются выжить в Японии во время Второй мировой войны.,"['Анимация для взрослых', 'Аниме', 'Нарисованная вручную анимацию', 'Период драма', 'Анимация', 'Драма', 'Война']",Japan
37,Отступники,2006,2h 31m,"Полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в Южном Бостоне.","['Полицейская драма', 'Эпический', 'Гангстер', 'Преступление', 'Драма', 'Триллер']",United States
38,Одержимость,2014,1h 46m,"Многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.","['Психологическая драма', 'Драма', 'Музыка']",United States
39,Харакири,1962,2h 13m,"Когда Ронин, прося Сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого Ронина, который ранее посещал, он показывает, как их прошлые переплетаются - и при этом ... прочтите все","['Период драма', 'Драма', 'Тайна']",Japan
40,Американская история Икс,1998,1h 59m,"Живая жизнью, отмеченная насилием, Неонацистский Дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. После его освобождения Дерек клянется измениться; Он надеется предотвратить его брата Дэнни, который идентифицирует","['Тюремная драма', 'Трагедия', 'Преступление', 'Драма']",United States
41,Престиж,2006,2h 10m,Соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,"['Период драма', 'Стимпанк', 'Трагедия', 'Драма', 'Тайна', 'Научная фантастика', 'Триллер']",United Kingdom
42,Леон,1994,1h 50m,"12-летняя Матильда неохотно принимает Леон, профессиональный убийца Леона, после того, как ее семья убита. Необычные отношения формируются, когда она становится его протеже и изучает убийцу ... читать все","['Гангстер', 'Армия с одной личной армией', 'Действие', 'Преступление', 'Драма', 'Триллер']",France
43,Человек-паук: Паутина вселенных,2023,2h 20m,"Путешествуя по мультивселенной, Майлз Моралес встречает новую команду пауков, состоящую из героев из разных измерений. Но когда герои сталкиваются с тем, как справиться с новой угрозой, м ... прочитайте все","['Компьютерная анимация', 'Супергерой', 'Сверхъестественная фантазия', 'Подростковое приключение', 'Городское приключение', 'Действие', 'Приключение', 'Анимация', 'Семья', 'Фантастика']",United States
44,Касабланка,1942,1h 42m,"Циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском Марокко.","['Драма', 'Роман', 'Война']",United States
45,Подозрительные лица,1995,1h 46m,"Единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.","['Капер', 'Гангстер', 'Ограбление', 'Психологическая драма', 'Психологический триллер', 'Тайна ожидания', 'Whodunnit', 'Преступление', 'Драма', 'Тайна']",United States
46,1+1,2011,1h 52m,"После того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.","['Docudrama', 'Комедия', 'Драма']",France
47,Новый кинотеатр «Парадизо»,1988,2h 54m,"Сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра Альфредо. Он вспоминает о своей жизни, когда молодой мальчик влюбился с ... читайте все","['Совершеннолетие', 'Драма', 'Роман']",Italy
48,Новые времена,1936,1h 27m,Бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,"['Романтическая комедия', 'Сатира', 'Защелка', 'Комедия', 'Драма', 'Роман']",United States
49,Чужой,1979,1h 57m,После изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,"['Инопланетное вторжение', 'Киберпанк', 'Монстр ужас', 'Космическая научная фантастика', 'Ужас', 'Научная фантастика']",United Kingdom
50,Окно во двор,1954,1h 52m,"Скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.","['Психологический триллер', 'Тайна ожидания', 'Драма', 'Тайна', 'Триллер']",United States
51,Однажды на Диком Западе,1968,2h 46m,"Загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.","['Пустынное приключение', 'Эпический', 'Спагетти Вестерн', 'Западный Эпик', 'Драма', 'Западный']",Italy
52,Джанго освобождённый,2012,2h 45m,"С помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в Миссисипи.","['Темная комедия', 'Эпический', 'Период драма', 'Западный Эпик', 'Западный']",United States
53,Огни большого города,1931,1h 27m,"С помощью богатого беспорядочного Tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.","['Хороший роман', 'Романтическая комедия', 'Сатира', 'Защелка', 'Комедия', 'Драма', 'Роман']",United States
54,Апокалипсис сегодня,1979,2h 27m,"Офицеру армии США, служащего во Вьетнаме, поручено убийство полковника спецназа Renegade, который считает себя Богом.","['Приключенческий эпос', 'Эпический', 'Вершинный детектив', 'Психологическая драма', 'Квест', 'Тайна ожидания', 'Военный эпический', 'Драма', 'Тайна', 'Война']",United States
55,Дюна: Часть вторая,2024,2h 46m,"Пол Атрейдес объединяется с Фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. Столкнувшись с выбором между любовью всей его жизни и судьбой Вселенной ... Прочтите все","['Действие Эпик', 'Пустынное приключение', 'Эпический', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Действие', 'Приключение', 'Драма', 'Научная фантастика']",United States
56,Помни,2000,1h 53m,"Леонард Шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.","['Психологический триллер', 'Тайна ожидания', 'Тайна', 'Триллер']",United States
57,ВАЛЛ·И,2008,1h 38m,"Робот, который отвечает за очистку покрытой отходом земля, встречает другого робота и влюбляется в нее. Вместе они отправились в путешествие, которое изменит судьбу человечества.","['Приключенческий эпос', 'Искусственный интеллект', 'Компьютерная анимация', 'Дистопическая научная фантастика', 'Космическая научная фантастика', 'Приключение', 'Анимация', 'Семья', 'Научная фантастика']",United States
58,Индиана Джонс: В поисках утраченного ковчега,1981,1h 55m,"В 1936 году археологи и авантюристы правительства США наняли Индиана Джонс, чтобы найти Ковчег Завета, прежде чем нацисты смогли получить свои необычайные полномочия.","['Приключенческий эпос', 'Пустынное приключение', 'Globetrotting Adventure', 'Квест', 'Действие', 'Приключение']",United States
59,Жизнь других,2006,2h 17m,"В 1984 году в Восточном Берлине агент секретной полиции, проводящего наблюдение за писателем и его любовником, становится все более поглощенным своей жизнью.","['Политический триллер', 'Психологическая драма', 'Шпион', 'Драма', 'Тайна', 'Триллер']",Germany
60,Мстители: Война бесконечности,2018,2h 29m,"Мстители и их союзники должны быть готовы пожертвовать всеми в попытке победить могущественных Таноса, прежде чем его блиц разрушительного и руина положит конец вселенной.","['Космическая научная фантастика', 'Супергерой', 'Действие', 'Приключение', 'Научная фантастика']",United States
61,Сансет бульвар,1950,1h 50m,"Сценарист развивает опасные отношения с выцветшей кинозвездой, решившей, чтобы сделать триумфальное возвращение.","['Темная комедия', 'Фильм нуар', 'Психологическая драма', 'Шоу -бизнес драма', 'Трагедия', 'Драма']",United States
62,Человек-паук: Через Вселенные,2018,1h 57m,"Teen Miles Morales становится Человеком-пауком своей вселенной и должен присоединиться к пять человек с пауками из других измерений, чтобы остановить угрозу для всех реалий.","['Компьютерная анимация', 'Супергерой', 'Сверхъестественная фантазия', 'Подростковое приключение', 'Городское приключение', 'Действие', 'Приключение', 'Анимация', 'Комедия', 'Семья']",Canada
63,Тропы славы,1957,1h 28m,"Полковник защищает трех своих солдат в военном суде после того, как они отказываются от суицидальной атаки.","['Эпический', 'Психологическая драма', 'Военный эпический', 'Драма', 'Война']",United States
64,Свидетель обвинения,1957,1h 56m,"Ветеран британский адвокат должен защищать своего клиента в ходе судебного разбирательства, который удивил после удивления.","['Юридическая драма', 'Легальный триллер', 'Whodunnit', 'Преступление', 'Драма', 'Тайна', 'Триллер']",United States
65,Сияние,1980,2h 26m,"Семья направляется в изолированный отель на зиму, где зловещее присутствие влияет на отца на насилие. В то же время его экстрасенс","['Темная комедия', 'Психологическая драма', 'Психологический ужас', 'Сверхъестественный ужас', 'Драма', 'Ужас']",United Kingdom
66,Великий диктатор,1940,2h 5m,"Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований с режима Хинкеля.","['Пародия', 'Сатира', 'Защелка', 'Комедия', 'Драма', 'Война']",United States
67,12-я неудача,2023,Vidhu Vinod Chopra,Реальная история офицера IPS Маноджа Кумара Шарма и офицера IRS Шраддха Джоши.,"['Docudrama', 'Биография', 'Драма']",India
68,Чужие,1986,2h 17m,"Через десятилетия после выживания инцидента с Ностромо Эллен Рипли отправляют, чтобы восстановить контакт с терраформирующей колонией, но она сражается с королевой инопланетян и ее потомством.","['Инопланетное вторжение', 'Киберпанк', 'Монстр ужас', 'Космическая научная фантастика', 'Выживание', 'Трагедия', 'Действие', 'Приключение', 'Ужас', 'Научная фантастика']",United Kingdom
69,Бесславные ублюдки,2009,2h 33m,Во время Второй мировой войны во время Второй мировой войны план убийства нацистских лидеров группой еврейских солдат США совпадает с мстительными планами владельца театра на то же самое.,"['Темная комедия', 'Период драма', 'Приключение', 'Драма', 'Война']",United States
70,Тёмный рыцарь: Возрождение легенды,2012,2h 44m,"Бэйн, внушительный террорист, нападает на Готэм-Сити и нарушает свой восьмилетний период мира. Это заставляет Брюса Уэйна выйти из скрытия и снова надеть накидку и капот Бэтмена.","['Действие Эпик', 'Эпический', 'Супергерой', 'Действие', 'Драма', 'Триллер']",United States
71,Тайна Коко,2017,1h 45m,"Стремительный музыкант Мигель, столкнувшись с наследственным запретом своей семьи на музыку, входит в землю мертвых, чтобы найти своего пра-пра-дедушки, легендарного певца.","['Компьютерная анимация', 'Сверхъестественная фантазия', 'Приключение', 'Анимация', 'Драма', 'Семья', 'Фантастика', 'Музыка', 'Тайна']",United States
72,Амадей,1984,2h 40m,"Жизнь, успех и неприятности Вольфганга Амадея Моцарта, как сказал Антонио Сальери, современный композитор, который глубоко завидовал таланту Моцарта и утверждал, что убил его ... прочтите все","['Драма костюма', 'Эпический', 'Период драма', 'Трагедия', 'Биография', 'Драма', 'Музыка']",United States
73,История игрушек,1995,1h 21m,"Ковбойская кукла глубоко угрожает и завидует, когда новая фигура по борьбе с космосором вытесняет его в качестве лучшей игрушки в спальне мальчика.","['Приятель комедия', 'Компьютерная анимация', 'Сверхъестественная фантазия', 'Городское приключение', 'Приключение', 'Анимация', 'Комедия', 'Семья', 'Фантастика']",United States
74,Мстители: Финал,2019,3h 1m,"После разрушительных событий Мтситетели: ВОЕННАЯ БОСКОНЕГЕАНА (2018) вселенная находится в руинах. С помощью оставшихся союзников Мстители собираются еще раз, чтобы повернуть в виду Танос ... прочитать все","['Космическая научная фантастика', 'Супергерой', 'Путешествие во времени', 'Трагедия', 'Действие', 'Приключение', 'Научная фантастика']",United States
75,Умница Уилл Хантинг,1997,2h 6m,"У Уилл Хантинг, уборщик в MIT, есть подарок для математики, но нуждается в помощи психолога, чтобы найти направление в его жизни.","['Совершеннолетие', 'Психологическая драма', 'Драма', 'Роман']",United States
76,Олдбой,2003,2h,"После того, как он был похищен и заключен в тюрьму в течение пятнадцати лет, Огал Дэ-су освобождается, только чтобы обнаружить, что он должен отследить своего похитителя за пять дней.","['Темная комедия', 'Армия с одной личной армией', 'Психологическая драма', 'Психологический триллер', 'Действие', 'Драма', 'Тайна', 'Триллер']",South Korea
77,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,1h 35m,"Мраво неуравновешенная американская общая приказывает к приступу водородной бомб на Советский Союз, инициируя путь к глобальному ядерному Холокосту, что военная комната, полная политиков и генералов, безумно ... прочитайте все","['Темная комедия', 'Фарс', 'Политическая драма', 'Сатира', 'Трагедия', 'Комедия', 'Война']",United Kingdom
78,Красота по-американски,1999,2h 2m,"Сексуально разочарованный пригородный отец имеет кризис в середине жизни после того, как он увлекся лучшим другом его дочери.","['Психологическая драма', 'Трагедия', 'Драма']",United States
79,Подводная лодка,1981,Wolfgang Petersen,"Немецкая подводная лодка преследует холодные воды Северной Атлантики, когда ее молодая команда испытывает ужас и клаустрофобную жизнь подводного лодка во Второй мировой войне.","['Эпический', 'Военный эпический', 'Драма', 'Война']",West Germany
80,Храброе сердце,1995,2h 58m,"Шотландский воин Уильям Уоллес ведет своих соотечественников в восстании, чтобы освободить свою родину от тирании короля Эдварда I из Англии.","['Действие Эпик', 'Драма костюма', 'Эпический', 'Период драма', 'Военный эпический', 'Биография', 'Драма', 'Война']",United States
81,Принцесса Мононоке,1997,2h 13m,"Стремясь вылечить себя от проклятия, молодой воин Ашитака наткнулся на конфликт между народом Железного Тауна и принцессой Мононоке, девушкой, воспитанной волками, которая остановится, не ... читать все","['Действие Эпик', 'Анимация для взрослых', 'Приключенческий эпос', 'Аниме', 'Темная фантазия', 'Фэнтезийный эпический', 'Нарисованная вручную анимацию', 'Квест', 'Приключение', 'Анимация']",Japan
82,Твоё имя,2016,1h 46m,"Двое подростков имеют глубокую, волшебную связь, обнаружив, что они меняют тела. Все может стать еще сложнее, когда мальчик и девочка решают встретиться лично.","['Аниме', 'Shōjo', 'Анимация', 'Драма', 'Фантастика', 'Роман']",Japan
83,Рай и ад,1963,2h 23m,"Исполнительный директор обувной компании Yokohama становится жертвой вымогательства, когда сын его шофера похищен по ошибке и удерживается за выкуп.","['Полицейские процедурные', 'Преступление', 'Драма', 'Тайна', 'Триллер']",Japan
84,Три идиота,2009,2h 50m,"Двое друзей ищут своего давно потерянного спутника. Они возвращаются к своим студенческим дням и вспоминают воспоминания о своем другом, который вдохновил их думать по -другому, даже когда остальная часть Т ... прочитайте все","['Приятель комедия', 'Совершеннолетие', 'Причудливая комедия', 'Комедия', 'Драма']",India
85,Джокер,2019,2h 2m,"Артур Флек, клоун вечеринки и неудачный комик, ведет обнищавшую жизнь со своей больной матерью. Однако, когда общество избегает его и зафиксирует урод, он решает обнять ... читать все","['Психологическая драма', 'Психологический триллер', 'Трагедия', 'Преступление', 'Драма', 'Триллер']",United States
86,Однажды в Америке,1984,3h 49m,"Бывший еврейский гангстер эпохи запрета возвращается в нижнюю восточную сторону Манхэттена 35 лет спустя, где он должен снова противостоять призракам и сожалениям о своей старой жизни.","['Темная комедия', 'Эпический', 'Гангстер', 'Период драма', 'Преступление', 'Драма']",Italy
87,Капернаум,2018,2h 6m,"Отбывая пятилетний срок за насильственное преступление, 12-летний мальчик предъявляет иск своим родителям за пренебрежение.",['Драма'],Lebanon
88,Поющие под дождем,1952,1h 43m,"Звезда немой кино влюбляется в припевную девушку так же, как он и его бредовое ревнивое экранное партнер пытаются сделать трудный переход к говорящим картинкам в Голливуде 1920 -х годов.","['Классический мюзикл', 'Хороший роман', 'Музыкальный автомат', 'Романтическая комедия', 'Сатира', 'Комедия', 'Мюзикл', 'Роман']",United States
89,Иди и смотри,1985,2h 22m,"Найдя старую винтовку, молодой мальчик присоединяется к советскому движению сопротивления против безжалостных немецких сил и испытывает ужасы Второй мировой войны.","['Эпический', 'Период драма', 'Трагедия', 'Военный эпический', 'Драма', 'Триллер', 'Война']",Soviet Union
90,Реквием по мечте,2000,1h 42m,"Утопии, вызванные наркотиками четырех жителей Кони-Айленда, разрушены, когда их пристрастия проходят глубоко.","['Психологическая драма', 'Трагедия', 'Драма']",United States
91,История игрушек: Большой побег,2010,1h 43m,"Игрушки ошибочно доставляются в центр дневного ухода, а не на чердаке прямо перед тем, как Энди уходит в колледж, и Вуди должен убедить другие игрушки, что они не были брошены ... Прочтите все","['Компьютерная анимация', 'Сверхъестественная фантазия', 'Городское приключение', 'Приключение', 'Анимация', 'Комедия', 'Семья', 'Фантастика']",United States
